"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mmu-miR-148a_st",-3.3119950280956,2.7129008329684,-8.12901376522524,1.58596436331274e-08,1.31854377652011e-06,9.6672685475138
"mmu-miR-126-3p_st",-6.91494060524832,4.84327156907413,-8.10151307509287,1.68885911548617e-08,1.36990750749523e-06,9.60515970320388
"cfa-miR-148a_st",-3.24004507156782,2.46558937171213,-8.09881892174936,1.69930077944148e-08,1.36990750749523e-06,9.59906947788971
"AFFX-r2-Ec-c2-bioC-3_at",1.94411920111229,11.8883385034983,8.09855349708072,1.70033305472857e-08,1.36990750749523e-06,9.59846942211401
"rno-miR-34c-star_st",-6.11121139823362,4.11771746581366,-8.08930458149668,1.73670789597108e-08,1.38493593949123e-06,9.57755396282858
"rno-miR-126_st",-6.15254903865352,5.41430983235489,-8.06902809492169,1.81927114351407e-08,1.42554158087767e-06,9.53165945740356
"AFFX-r2-Ec-c1-bioB-5_at",2.61294231926326,10.5473880169327,8.0678692849745,1.82410950848071e-08,1.42554158087767e-06,9.52903485203445
"AFFX-r2-Ec-c1-bioD-3_st",3.11659047654526,5.56720794890422,8.06281473146852,1.8453684838687e-08,1.42787670311227e-06,9.51758455384518
"AFFX-BioDn-5_at",1.54246377454801,12.349926655117,8.05164520717523,1.89325199097765e-08,1.45056512838141e-06,9.49226924766019
"ggo-miR-101_st",-2.1732799047168,2.57137652784275,-8.04527176035938,1.92114375389073e-08,1.45764450841321e-06,9.47781636014481
"mmu-miR-331-3p_st",-2.83174017164827,2.88574947984761,-8.02948679823947,1.99205067246124e-08,1.49691115435429e-06,9.44199713428008
"xtr-miR-148b_st",-1.74865451928297,1.90299612685227,-8.01887743908868,2.04121109171961e-08,1.51924425540845e-06,9.41790309251395
"mml-miR-126_st",-6.76992204227365,4.91953056955109,-8.00214885808656,2.12126651598275e-08,1.56393375683068e-06,9.37988070697607
"mml-miR-34b_st",-3.22623700940064,3.52612298533307,-7.99784290124351,2.14238896434306e-08,1.56474483704122e-06,9.37008746724445
"AFFX-r2-Ec-c1-bioC-5_at",1.71593333948431,12.035738536693,7.98685018624623,2.19729586759107e-08,1.58998770418743e-06,9.34507465442823
"fru-miR-125a_st",-3.55306242088362,3.4649975378354,-7.98042385848864,2.23006037440623e-08,1.5988919106408e-06,9.33044449939091
"AFFX-r2-Ec-c2-bioD-3_st",3.0318497478938,7.34941621992121,7.97532573496742,2.25640899845824e-08,1.6030760293592e-06,9.31883409206824
"gga-miR-34c_st",-8.36945185265133,4.45445064193759,-7.95747375414153,2.35121500845005e-08,1.65023932873229e-06,9.27815005886559
"hsa-miR-194_st",-4.36488404362613,3.86875910294706,-7.95493481775357,2.36502629325676e-08,1.65023932873229e-06,9.27236035845486
"rno-miR-34c_st",-8.35275670237394,4.45601984174341,-7.94352091202492,2.42815015754839e-08,1.67929145851687e-06,9.24632156620038
"AFFX-BioB-3_at",2.36077021295047,11.0120908623609,7.93919902926108,2.45250041965435e-08,1.68125357715779e-06,9.23645729614738
"hsa-miR-126_st",-5.83479216018252,5.66900173713191,-7.90313665083308,2.66569574997457e-08,1.81151411183055e-06,9.15404869156214
"cfa-miR-26b_st",-3.14727161647641,2.70989323154226,-7.8847476231471,2.7816291862761e-08,1.87400276644377e-06,9.11195813481893
"hsa-miR-486-5p_st",-6.54940576038681,4.97752177574078,-7.86356232326238,2.92161721416997e-08,1.93562407110887e-06,9.06340990815919
"mmu-miR-34c_st",-8.35338426084004,4.45645346161447,-7.86341267046339,2.92263135496925e-08,1.93562407110887e-06,9.06306674583155
"AFFX-r2-Ec-c1-bioB-M_at",2.37001490116005,10.8650745519386,7.85174732206764,3.00280319798147e-08,1.9720089909433e-06,9.03630803776688
"AFFX-r2-Ec-c3-bioB-M_at",2.37657361811477,10.9349663571781,7.83021562770693,3.15675208445087e-08,2.05583479499863e-06,8.98686854666716
"mmu-miR-34b-5p_st",-3.08863030113603,2.67471551327495,-7.82257141370003,3.21333235217198e-08,2.07538779605157e-06,8.96930127132545
"gga-miR-194_st",-4.28364563409814,3.80940798680527,-7.81090910811018,3.30166220237067e-08,2.11495820586285e-06,8.94248463818154
"mmu-miR-192_st",-3.38142499425372,2.90106708803749,-7.78769739523251,3.48494334060098e-08,2.21421400055257e-06,8.88905593022979
"cin-miR-34_st",-2.68209576817656,2.15829887542337,-7.77376044997054,3.59996573667273e-08,2.26884937355624e-06,8.85694071252307
"hsa-miR-29c-star_st",-1.93979493980117,2.0481831297457,-7.77023185568471,3.62969949722795e-08,2.26928812566691e-06,8.84880551127839
"bta-miR-148a_st",-3.03747174000884,2.820326541243,-7.75662583842558,3.7467254845796e-08,2.32386187793568e-06,8.8174209269269
"mml-miR-34c-5p_st",-8.20552791000791,4.54199925276116,-7.750244909993,3.80293230337853e-08,2.33265618993978e-06,8.80269359211131
"mmu-miR-34b-3p_st",-4.88490253265683,4.06094849587731,-7.74825895876353,3.8206013091784e-08,2.33265618993978e-06,8.79810884402782
"AFFX-r2-Ec-c3-bioC-5_at",1.71951164793144,12.0575399590068,7.73447517380863,3.94557498528172e-08,2.39028438061834e-06,8.76627301644644
"ggo-miR-10b_st",-3.34002585292931,3.79635268536822,-7.70644000661527,4.21284058080459e-08,2.53256531838368e-06,8.70144210449532
"xtr-miR-148a_st",-3.21550376170928,2.66260027393881,-7.69907643065112,4.28606582215774e-08,2.55691636642464e-06,8.68439634262053
"hsa-miR-34b-star_st",-6.41119011997552,3.85300567163787,-7.69194308421025,4.35824455597404e-08,2.5802788791619e-06,8.66787655872385
"AFFX-r2-Ec-c2-bioB-5_at",2.58952161532386,10.5533218500965,7.62179846526772,5.13788296268922e-08,3.01898912431701e-06,8.50506717536328
"dre-miR-10b_st",-4.30460610580529,3.85922020423455,-7.61675369068301,5.19918455025189e-08,3.03221098956855e-06,8.49333252372886
"bta-miR-10b_st",-3.77543044640026,4.25783213414801,-7.61216754317749,5.25556270647384e-08,3.04238685563652e-06,8.48266172680827
"cfa-miR-34c_st",-8.06337060442263,4.67827621455573,-7.60517448862627,5.34273650898233e-08,3.07010925130125e-06,8.466385250507
"dre-miR-29b_st",-2.495030266921,2.21167380847874,-7.59900492070999,5.42087335041336e-08,3.09227191485258e-06,8.45202002354442
"AFFX-r2-Ec-c2-bioB-M_at",2.38499134775512,10.8436187938264,7.59416869763263,5.48294066375152e-08,3.10501313675494e-06,8.44075579912718
"mmu-miR-486_st",-6.36620118736655,5.16905463502494,-7.54565798935968,6.14725470797627e-08,3.43619806607838e-06,8.32759503446001
"hsa-miR-424-star_st",-3.1378931884543,3.63576086404224,-7.5450766247472,6.15569711133684e-08,3.43619806607838e-06,8.32623698597587
"ptr-miR-194_st",-4.36972561062513,3.77592513562143,-7.52385147273161,6.47218602276739e-08,3.58724352964022e-06,8.27662497334146
"rno-miR-542-5p_st",-2.57676291813538,2.69723048878899,-7.49848302494983,6.87239872882193e-08,3.78223915955939e-06,8.21724992677045
"lla-miR-101_st",-2.29215084702115,2.33287037841475,-7.47748810171891,7.22271917753161e-08,3.91622989494292e-06,8.16804671556904
"mmu-miR-34c-star_st",-5.66185996848323,4.72572223547829,-7.47607206580726,7.24699483073275e-08,3.91622989494292e-06,8.16472602989761
